,ITA,SSIM
1700,-29.898000000000003,0.9999788602193197
1701,-29.898000000000003,0.9999769528706869
1702,-29.898000000000003,0.999976396560669
1742,-13.782,0.9999840259552002
1743,-13.782,0.9999823570251465
1744,-13.782,0.999983549118042
1745,-13.782,0.9999839464823405
1746,-13.782,0.9999805291493734
1747,-13.782,0.9999717076619467
1748,-13.782,0.9999705950419108
1749,-13.782,0.9999698797861735
1750,-13.782,0.999964714050293
1751,-13.782,0.9999621709187826
1752,-13.782,0.9999659856160482
1753,-13.782,0.9999640782674154
1754,-13.782,0.99996018409729
1794,-13.662,0.9999943574269613
1795,-13.662,0.9999945958455404
1796,-13.662,0.9999942779541016
1797,-13.662,0.9999926090240479
1798,-13.662,0.9999887943267822
1799,-13.662,0.9999860127766927
1800,-13.662,0.9999861717224121
1801,-13.662,0.9999836285909017
1802,-13.662,0.9999771118164062
1803,-13.662,0.9999790191650391
1804,-13.662,0.9999802112579346
1805,-13.662,0.9999810059865316
1806,-13.662,0.999980608622233
